image,block_size,channel,peak,zero,has_true_zero,capacity_before_overhead_bits,overhead_bits,capacity_after_overhead_bits,payload_bits_embedded
coffee,8,0,197,254,True,3282,80,3202,64
coffee,8,1,4,1,False,5624,1430,4194,0
coffee,8,2,2,247,False,12733,962,11771,0
coffee,16,0,197,254,True,3282,80,3202,64
coffee,16,1,4,1,False,5624,1430,4194,0
coffee,16,2,2,247,False,12733,962,11771,0
coffee,32,0,197,254,True,3282,80,3202,64
coffee,32,1,4,1,False,5624,1430,4194,0
coffee,32,2,2,247,False,12733,962,11771,0
coffee,64,0,197,254,True,3282,80,3202,64
coffee,64,1,4,1,False,5624,1430,4194,0
coffee,64,2,2,247,False,12733,962,11771,0
chelsea,8,0,156,214,True,3934,80,3854,64
chelsea,8,1,116,190,True,3584,80,3504,0
chelsea,8,2,96,188,True,2996,80,2916,0
chelsea,16,0,156,214,True,3933,80,3853,64
chelsea,16,1,116,190,True,3584,80,3504,0
chelsea,16,2,96,188,True,2996,80,2916,0
chelsea,32,0,156,214,True,3933,80,3853,64
chelsea,32,1,116,190,True,3584,80,3504,0
chelsea,32,2,96,188,True,2996,80,2916,0
chelsea,64,0,156,214,True,3932,80,3852,64
chelsea,64,1,116,190,True,3584,80,3504,0
chelsea,64,2,96,188,True,2996,80,2916,0
rocket,8,0,42,1,False,5390,206,5184,64
rocket,8,1,52,255,False,5301,152,5149,0
rocket,8,2,77,219,False,4784,98,4686,0
rocket,16,0,42,1,False,5390,206,5184,64
rocket,16,1,52,255,False,5301,152,5149,0
rocket,16,2,77,219,False,4784,98,4686,0
rocket,32,0,42,1,False,5390,206,5184,64
rocket,32,1,52,255,False,5301,152,5149,0
rocket,32,2,77,219,False,4784,98,4686,0
rocket,64,0,42,1,False,5390,206,5184,64
rocket,64,1,52,255,False,5301,152,5149,0
rocket,64,2,77,219,False,4784,98,4686,0
hubble_deep_field,8,0,11,255,False,27560,188,27372,64
hubble_deep_field,8,1,13,1,True,27161,80,27081,0
hubble_deep_field,8,2,11,0,True,23600,80,23520,0
hubble_deep_field,16,0,11,255,False,27560,188,27372,64
hubble_deep_field,16,1,13,1,True,27161,80,27081,0
hubble_deep_field,16,2,11,0,True,23601,80,23521,0
hubble_deep_field,32,0,11,255,False,27563,188,27375,64
hubble_deep_field,32,1,13,1,True,27161,80,27081,0
hubble_deep_field,32,2,11,0,True,23601,80,23521,0
hubble_deep_field,64,0,11,255,False,27562,188,27374,64
hubble_deep_field,64,1,13,1,True,27163,80,27083,0
hubble_deep_field,64,2,11,0,True,23603,80,23523,0
